"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Systematic Literature Review on Bad Smells–5 W's: Which, When, What, Who, Where","E. V. d. P. Sobrinho; A. De Lucia; M. d. A. Maia","Department of Electrical Engineering, Federal University of Triângulo Mineiro, Uberaba, Brazil; University of Salerno, Fisciano, (SA), Italy; Faculty of Computing, Federal University of Uberlândia, Uberlândia, Brazil","IEEE Transactions on Software Engineering","8 Jan 2021","2021","47","1","17","66","Bad smells are sub-optimal code structures that may represent problems needing attention. We conduct an extensive literature review on bad smells relying on a large body of knowledge from 1990 to 2017. We show that some smells are much more studied in the literature than others, and also that some of them are intrinsically inter-related (which). We give a perspective on how the research has been driven across time (when). In particular, while the interest in duplicated code emerged before the reference publications by Fowler and Beck and by Brown et al., other types of bad smells only started to be studied after these seminal publications, with an increasing trend in the last decade. We analyzed aims, findings, and respective experimental settings, and observed that the variability of these elements may be responsible for some apparently contradictory findings on bad smells (what). Moreover, we could observe that, in general, papers tend to study different types of smells at once. However, only a small percentage of those papers actually investigate possible relations between the respective smells (co-studies), i.e., each smell tends to be studied in isolation. Despite of a few relations between some types of bad smells have been investigated, there are other possible relations for further investigation. We also report that authors have different levels of interest in the subject, some of them publishing sporadically and others continuously (who). We observed that scientific connections are ruled by a large “small world” connected graph among researchers and several small disconnected graphs. We also found that the communities studying duplicated code and other types of bad smells are largely separated. Finally, we observed that some venues are more likely to disseminate knowledge on Duplicate Code (which often is listed as a conference topic on its own), while others have a more balanced distribution among other smells (where). Finally, we provide a discussion on future directions for bad smell research.","1939-3520","","10.1109/TSE.2018.2880977","Fundação de Amparo à Pesquisa do Estado de Minas Gerais; Conselho Nacional de Desenvolvimento Científico e Tecnológico; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8532309","Software maintenance;reengineering;bad smell","Systematics;Bibliographies;Software;Measurement;Organizations;Tools;Cloning","graph theory;program diagnostics;software maintenance","systematic literature review;bad smells;duplicated code;possible relations;bad smell research;suboptimal code structures;small world connected graph","","2","","417","IEEE","11 Nov 2018","","","IEEE","IEEE Journals"
"Requirements elicitation and validation with real world scenes","P. Haumer; K. Pohl; K. Weidenhaupt","Tech. Hochschule Aachen, Germany; NA; NA","IEEE Transactions on Software Engineering","6 Aug 2002","1998","24","12","1036","1054","A requirements specification defines the requirements for the future system at a conceptual level (i.e., class or type level). In contrast, a scenario represents a concrete example of current or future system usage. In early RE phases, scenarios are used to support the definition of high level requirements (goals) to be achieved by the new system. In many cases, those goals can to a large degree be elicited by observing, documenting and analyzing scenarios about current system usage. To support the elicitation and validation of the goals achieved by the existing system and to illustrate problems of the old system, we propose to capture current system usage using rich media (e.g., video, speech, pictures, etc.) and to interrelate those observations with the goal definitions. Thus, we aim at making the abstraction process which leads to the definition of the conceptual models more transparent and traceable. We relate the parts of the observations which have caused the definition of a goal or against which a goal was validated with the corresponding goal. These interrelations provide the basis for: 1) explaining and illustrating a goal model to, e.g., untrained stakeholders and/or new team members; 2) detecting, analyzing, and resolving a different interpretation of the observations; 3) comparing different observations using computed goal annotations; and 4) refining or detailing a goal model during later process phases. Using the PRIME implementation framework, we have implemented the PRIME-CREWS environment, which supports the interrelation of conceptual models and captured system usage observations. We report on our experiences with PRIME-CREWS gained in an experimental case study.","1939-3520","","10.1109/32.738338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=738338","","Layout;Object oriented modeling;Context modeling;History;Erbium;Unified modeling language;Business process re-engineering;System testing;Knowledge engineering;Concrete","formal specification;program verification;systems analysis;program diagnostics","requirements elicitation;requirements validation;real world scenes;requirements specification;future system;conceptual level;type level;future system usage;early RE phases;high level requirements;new system;current system usage;old system;goal definitions;abstraction process;conceptual models;untrained stakeholders;new team members;computed goal annotations;goal model;PRIME implementation framework;PRIME-CREWS environment;captured system usage observations;experimental case study","","85","","48","","6 Aug 2002","","","IEEE","IEEE Journals"
"Perturbation techniques for detecting domain errors","S. J. Zeil","Dept. of Comput. Sci., Old Dominion Univ., Norfolk, VA, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1989","15","6","737","746","Perturbation testing is an approach to software testing which focuses on faults within arithmetic expressions appearing throughout a program. This approach is expanded to permit analysis of individual test points rather than entire paths, and to concentrate on domain errors. Faults are modeled as perturbing functions drawn from a vector space of potential faults and added to the correct form of an arithmetic expression. Sensitivity measures are derived which limit the possible size of those faults that would go undetected after the execution of a given test set. These measures open up an interesting view of testing, in which attempts are made to reduce the volume of possible faults which, were they present in the program being tested, would have escaped detection on all tests performed so far. The combination of these measures with standard optimization techniques yields a novel test-data-generation method called arithmetic fault detection.<<ETX>></ETX>","1939-3520","","10.1109/32.24727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=24727","","Perturbation methods;Software testing;Error correction;Fault detection;Size measurement;Volume measurement;Measurement standards;Optimization methods;Floating-point arithmetic;Computer science","error detection;perturbation techniques;program testing","error detection;sensitivity measures;software testing;arithmetic expressions;individual test points;domain errors;perturbing functions;vector space;potential faults;test set;standard optimization techniques;novel test-data-generation method;arithmetic fault detection","","29","","19","","6 Aug 2002","","","IEEE","IEEE Journals"
"Modified rate-monotonic algorithm for scheduling periodic jobs with deferred deadlines","Wei Kuan Shih; J. W. S. Liu; C. L. Liu","Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA; Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA; Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1993","19","12","1171","1179","The deadline of a request is the time instant at which its execution must complete. The deadline of the request in any period of a job with deferred deadline is some time instant after the end of the period. The authors describe a semi-static priority-driven algorithm for scheduling periodic jobs with deferred deadlines: each job is assigned two priorities, the higher one for old requests and the lower one for the current request. This algorithm is called the modified rate-monotonic algorithm and is based on the well-known rate-monotonic algorithm. It is shown that the modified rate-monotonic algorithm is optimal when the deadline of every job is deferred by max (1, gamma -1) periods or more, where gamma is the ratio between the longest period and the shortest period. When the deadline of each job is deferred by one period of the job, any set of n independent jobs whose total utilization is equal to or less than (1+n(2/sup 1/n/-1))/2 can be feasibly scheduled by this algorithm. This bound approaches 0.845 when n approaches infinity.<<ETX>></ETX>","1939-3520","","10.1109/32.249662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=249662","","Scheduling algorithm;Processor scheduling;Real time systems;H infinity control;Operating systems;Aerospace control;Computer science","computational complexity;multiprogramming;operating systems (computers);real-time systems;scheduling","modified rate-monotonic algorithm;periodic jobs;deferred deadlines;semi-static priority-driven algorithm;time instant;old requests;current request;independent jobs;feasibly scheduled;job scheduling;request deadline;deterministic scheduling theory;embedded systems;operating system;real-time systems;scheduling algorithms","","25","1","8","","6 Aug 2002","","","IEEE","IEEE Journals"
"Semantics guided regression test cost reduction","D. Binkley","Dept. of Comput. Sci., Loyola Coll., Baltimore, MD, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1997","23","8","498","516","Software maintainers are faced with the task of regression testing: retesting a modified program on an often large number of test cases. The cost of regression testing can be reduced if the size of the program is reduced and if old test cases and results can be reused. Two complimentary algorithms for reducing the cost of regression testing are presented. The first produces a program called Differences that captures the semantic change between Certified, a previously tested program, and Modified, a changed version of Certified. It is more efficient to test Differences, because it omits unchanged computations. The program Differences is computed using a combination of program slices. The second algorithm identifies test cases for which Certified and Modified produce the same output and existing test cases that test new components in Modified. The algorithm is based on the notion of common execution patterns. Program components with common execution patterns have the same execution pattern during some call to their procedure. They are computed using a calling context slice. Whereas an interprocedural slice includes the program components necessary to capture all possible executions of a statement, a calling context slice includes only those program components necessary to capture the execution of a statement in a particular calling context. Together with Differences, it is possible to test Modified by running Differences on a smaller number of test cases. This is more efficient than running Modified on a large number of test cases. A prototype implementation has been built to examine and illustrate these algorithms.","1939-3520","","10.1109/32.624306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=624306","","Costs;Automatic testing;Software testing;Software debugging;Software maintenance;Software tools;Computer Society;Software prototyping;Prototypes;Software engineering","program testing;software maintenance;subroutines;software cost estimation","semantics-guided regression test cost reduction;software maintenance;modified program retesting;old test cases;semantic change;program differences;certified program;program slices;common execution patterns;procedure calls;calling context slice;interprocedural slice;program components;program statement executions","","121","2","43","","6 Aug 2002","","","IEEE","IEEE Journals"
"Predicting fault incidence using software change history","T. L. Graves; A. F. Karr; J. S. Marron; H. Siy","Los Alamos Nat. Lab., NM, USA; NA; NA; NA","IEEE Transactions on Software Engineering","6 Aug 2002","2000","26","7","653","661","This paper is an attempt to understand the processes by which software ages. We define code to be aged or decayed if its structure makes it unnecessarily difficult to understand or change and we measure the extent of decay by counting the number of faults in code in a period of time. Using change management data from a very large, long-lived software system, we explore the extent to which measurements from the change history are successful in predicting the distribution over modules of these incidences of faults. In general, process measures based on the change history are more useful in predicting fault rates than product metrics of the code: For instance, the number of times code has been changed is a better indication of how many faults it will contain than is its length. We also compare the fault rates of code of various ages, finding that if a module is, on the average, a year older than an otherwise similar module, the older module will have roughly a third fewer faults. Our most successful model measures the fault potential of a module as the sum of contributions from all of the times the module has been changed, with large, recent changes receiving the most weight.","1939-3520","","10.1109/32.859533","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=859533","","History;Predictive models;Software systems;Aging;Time measurement;Software measurement;Length measurement;Software development management;Statistical analysis;Degradation","software maintenance;software metrics;software fault tolerance;management of change","fault incidence;software change history;change management data;change history;fault potential;code decay;metrics;statistical analysis","","401","12","21","","6 Aug 2002","","","IEEE","IEEE Journals"
"Discarding Obsolete Information in a Replicated Database System","S. K. Sarin; N. A. Lynch",Computer Corporation of America; NA,"IEEE Transactions on Software Engineering","18 Sep 2006","1987","SE-13","1","39","47","A replicated database architecture is described in which updates processed at a site must be saved to allow reconcilliation of newly arriving updates in a way that preserves mutual consistency. The storage space occupied by the saved updates increases indefinitely, and periodic discarding of old updates is needed to avoid running out of storage. A protocol is described which allows sites in the system to agree that updates older than a given timestamp are no longer needed and can be discarded. This protocol uses a ""distributed snapshot"" algorithm of Chandy and Lamport and represents a practical application of that algorithm. A protocol for permanent removal of sites is also described, which will allow the discarding of updates to continue when one or more sites crash and are expected not to recover.","1939-3520","","10.1109/TSE.1987.232564","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1702131","Distributed databases;distributed snapshots;mutual consistency;network partitions;replicated data;timestamps","Database systems;Protocols;Pipelines;Partitioning algorithms;Computer crashes;Distributed databases;Availability;Government;Computer science;Protection","","Distributed databases;distributed snapshots;mutual consistency;network partitions;replicated data;timestamps","","31","18","9","","18 Sep 2006","","","IEEE","IEEE Journals"
"Distributed Version Management for Read-Only Actions","W. E. Weihl","M. I. T. Laboratory for Computer Science, 545 Technology Square","IEEE Transactions on Software Engineering","18 Sep 2006","1987","SE-13","1","55","64","Typical concurrency control protocols for atomic actions, such as two-phase locking, perform poorly for long read-only actions. We present four new concurrency control protocols that eliminate all interference between read-only actions and update actions, and thus offer significantly improved performance for read-only actions. The protocols work by maintaining multiple versions of the system state; read-only actions read old versions, while update actions manipulate the most recent version. We focus on the problem of managing the storage required for old versions in a distributed system. One of the protocols uses relatively little space, but has a potentially significant communication cost. The other protocols use more space, but may be cheaper in terms of communication.","1939-3520","","10.1109/TSE.1987.232835","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1702133","Atomic actions;concurrency;distributed systems;multiple version protocols;read-only actions;storage management","Protocols;Concurrency control;Hardware;Interference elimination;Costs;Concurrent computing;Data mining;Application software;Delay effects;System recovery","","Atomic actions;concurrency;distributed systems;multiple version protocols;read-only actions;storage management","","22","14","30","","18 Sep 2006","","","IEEE","IEEE Journals"
"Whence to Learn? Transferring Knowledge in Configurable Systems using BEETLE","R. Krishna; V. Nair; P. Jamshidi; T. Menzies","Computer Science, Columbia University, 5798 New York, New York United States (e-mail: i.m.ralk@gmail.com); Computer Science, NC State University, 6798 Raleigh, North Carolina United States (e-mail: vivekaxl@gmail.com); Computer Science and Engineering, University of South Carolina, Columbia, South Carolina United States (e-mail: pjamshid@cse.sc.edu); Computer Science, North Carolina State University College of Engineering, 242510 Raleigh, North Carolina United States 27695-7901 (e-mail: timm@ieee.org)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","As software systems grow in complexity and the space of possible configurations increases exponentially, finding the near-optimal configuration of a software system becomes challenging. Recent approaches address this challenge by learning performance models based on a sample set of configurations. However, collecting enough sample configurations can be very expensive since each such sample requires configuring, compiling, and executing the entire system using a complex test suite. When learning on new data is too expensive, it is possible to use Transfer Learning to “transfer” old lessons to the new context. Traditional transfer learning has a number of challenges, specifically, (a) learning from excessive data takes excessive time, and (b) the performance of the models built via transfer can deteriorate as a result of learning from a poor source. To resolve these problems, we propose a novel transfer learning framework called BEETLE, which is a “bellwether”-based transfer learner that focuses on identifying and learning from the most relevant source from amongst the old data. This paper evaluates BEETLE with 57 different software configuration problems based on five software systems (a video encoder, an SAT solver, a SQL database, a high-performance C-compiler, and a streaming data analytics tool). In each of these cases, BEETLE found configurations that are as good as or better than those found by other state-of-the-art transfer learners while requiring only a fraction 1/7th of the measurements needed by those other methods. Based on these results, we say that BEETLE is a new high-water mark in optimally configuring software.","1939-3520","","10.1109/TSE.2020.2983927","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9050841","Performance Optimization;SBSE;Transfer Learning;Bellwether","Optimization;Software systems;Data collection;Tools;Computer science;Software engineering","","","","","","","IEEE","30 Mar 2020","","","IEEE","IEEE Early Access Articles"
"Design recovery for distributed systems","L. J. Holtzblatt; R. L. Piazza; H. B. Reubenstein; S. N. Roberts; D. R. Harris","Reasoning Inc., Mountain View, CA, USA; NA; NA; NA; NA","IEEE Transactions on Software Engineering","6 Aug 2002","1997","23","7","461","472","Two factors limit the utility of reverse engineering technology for many distributed software systems. First, with the exception of tools that support Ada and its explicit tasking constructs, reverse engineering tools fail to capture information concerning the flow of information between tasks. Second, relatively few reverse engineering tools are available for programming languages in which many older legacy applications were written (e.g., Jovial, CMS-2, and various assembly languages). We describe approaches that were developed for overcoming these limitations. In particular, we have implemented an approach for automatically extracting task flow information from a command and control system written in CMS-2. Our approach takes advantage of a small amount of externally provided design knowledge in order to recover design information relevant to the distributed nature of the target system.","1939-3520","","10.1109/32.605763","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=605763","","Software maintenance;Reverse engineering;Software systems;Data mining;Navigation;Productivity;Displays;Software tools;Computer languages;Application software","distributed processing;reverse engineering;software tools;Ada;command and control systems","design recovery;distributed systems;reverse engineering;tools;Ada;tasking constructs;information flow;programming languages;legacy applications;Jovial;CMS-2;assembly languages;command and control system;program understanding","","22","","32","","6 Aug 2002","","","IEEE","IEEE Journals"
