"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Requirements Elicitation with and for Older Adults","H. Sustar; U. Pfeil; P. Zaphiris",City University London; City University London; City University London,"IEEE Software","25 Apr 2008","2008","25","3","16","17","The study investigated the strengths and weaknesses of existing user-centered design (UCD) methods for eliciting requirements from older adults. A case study in which older people are involved in designing, developing, and evaluating a virtual-garden prototype. Users could potentially employ this device (which has an interface that resembles a real garden) as an empathic information appliance that would provide weather forecasts and help control smart devices and assistive technologies. Creativity-oriented techniques are suggested to designers, developers, and engineers when creating products so that older people are included in the market consideration.","1937-4194","","10.1109/MS.2008.69","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4497756","older adults;empathic interfaces;user-centered design","Auditory system;User centered design;Weather forecasting;Demography;Design engineering;Usability;Animation;Capacitive sensors;Acoustical engineering;Power engineering and energy","geriatrics;home computing;product design;user centred design;user interfaces","user-centered design;older adults;user interface;smart devices;assistive technologies;creativity;product design","","2","","2","","25 Apr 2008","","","IEEE","IEEE Magazines"
"Is 40 the New 60? How Popular Media Portrays the Employability of Older Software Developers","S. Baltes; G. Park; A. Serebrenik","QAware Gmb, Germany; Software Engineering, Itility B.V.; Software Engineering, Eindhoven University of Technology, Eindhoven, The Netherlands","IEEE Software","23 Oct 2020","2020","37","6","26","31","We studied the public discourse around age and software development, focusing on the United States. This work was designed to build awareness among decision makers in software projects to help them anticipate and mitigate challenges that their older employees may face.","1937-4194","","10.1109/MS.2020.3014178","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9157881","","Software;Media;Computer hacking;Industries;Face;Engineering profession;Companies","decision making;organisational aspects;personnel;project management;software engineering","popular media portrays;employability;older software developers;software development;United States;software projects;older employees;decision making","","","","19","IEEE","4 Aug 2020","","","IEEE","IEEE Magazines"
"Testing tools combine best of new and old","R. M. Poston","PEI Div., Interactive Dev. Environ. Inc., Iselin, NJ, USA","IEEE Software","6 Aug 2002","1995","12","2","122","126","Today, new testing tools are giving life to old ones by providing reliable input to and automatically evaluating the output from old tools. Old and new tools are working together to cover the entire testing process. This article explains how old testing tools work with new ones in each phase of the life cycle.<<ETX>></ETX>","1937-4194","","10.1109/52.368294","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=368294","","Life testing;Automatic testing;System testing;Isolation technology;Content addressable storage;Jacobian matrices","program testing;software tools","program testing tools;new tools;old tools;testing process;software life cycle;software tools","","1","","","","6 Aug 2002","","","IEEE","IEEE Magazines"
"This old house [software development]","D. O'Day","Elite Inf. Syst., Los Angeles, CA, USA","IEEE Software","6 Aug 2002","1998","15","2","72","75","Comparing the improvement of existing software development processes to fixing up an old house, the author argues that working on one item at a time can be more practical than starting from the ground up. The author works at a software company that he imagines resembles many others. The company started out with five employees, including one programmer, and has grown to about 170 employees and $35 million a year in sales. Naturally the organization has experienced growing pains, and it is currently redefining what development means at the company. The article presents the author's view of the company's struggle to improve.","1937-4194","","10.1109/52.663789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663789","","Companies;Loans and mortgages;Fluid flow;Paints;Resists;Costs;Programming profession","software development management;DP industry;human resource management","software development processes;old house;software company","","1","","1","","6 Aug 2002","","","IEEE","IEEE Magazines"
"Nine Things You Can Do with Old Software","G. Booch",IBM,"IEEE Software","19 Aug 2008","2008","25","5","93","94","Every new line of code quickly becomes legacy. When that legacy mounts, it forms a significantly massive pile of software, which cannot be ignored. This article discusses what we can do intentionally with such piles, from abandonment to evolution and many things in between.","1937-4194","","10.1109/MS.2008.139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4602682","software architecture;software architecture economics;software development life cycle","Software maintenance;Costs;Power generation economics;Assembly;Software systems;Casting;Aging;Programming;Software measurement;Technological innovation","","","","","","","","19 Aug 2008","","","IEEE","IEEE Magazines"
"Open source software ERPs: a new alternative for an old need","N. Serrano; J. M. Sarriei","Univ. of Navarra, Spain; Univ. of Navarra, Spain","IEEE Software","8 May 2006","2006","23","3","94","97","Both OSS ERPs and proprietary ERPs involve complex system implementations that usually require modifications to a firm's business processes as well as some adaptation of the ERP' functionality. This mutual matching project usually involves consulting firms. However, the benefits of applying OSS are greater for ERPs than for other kinds of applications, for three main reasons: increased adaptability, decreased reliance on a single supplier, reduced costs","1937-4194","","10.1109/MS.2006.78","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1628946","ERP;enterprise resource planning;open source;management information systems","Open source software;Enterprise resource planning;Management information systems;Licenses;Companies;Costs;Application software;Dictionaries;Resource management;Information management","enterprise resource planning;public domain software","open source software;ERP;OSS;mutual matching project","","40","","6","","8 May 2006","","","IEEE","IEEE Magazines"
"Now That Objects are Old Hat, Quo Vadis, Oppsla?","A. Burgess",NA,"IEEE Software","6 Aug 2002","1996","13","1","106","","","1937-4194","","10.1109/MS.1996.476295","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476295","","Sun;Corporate acquisitions;Prototypes;Bridges;Java;Web sites;Investments;Muscles;Protection;Object oriented modeling","","","","","","","","6 Aug 2002","","","IEEE","IEEE Magazines"
"Sometimes the Old Ways Are Best","B. Kernighan",Princeton University,"IEEE Software","11 Nov 2008","2008","25","6","18","19","Brian Kernighan looks back at what has and has not changed in computing, programming, and tools over the last 30 years. He discusses what we want from our tools and reveals his favorites.","1937-4194","","10.1109/MS.2008.161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4670705","software tool;software development tool;integrated development environment","Software tools;Programming profession;Forensics;Assembly;Computer hacking;Linux;Books;Java;Safety;Environmental management","","","","","","","","11 Nov 2008","","","IEEE","IEEE Magazines"
"Community Collaboration for ERP Implementation","H. Wu; L. Cao",Old Dominion University; Old Dominion University,"IEEE Software","16 Oct 2009","2009","26","6","48","55","The paper discusses the enterprise resource planning (ERP).ERP implementation solves business problems by customizing and integrating off-the-shelf enterprise software packages. A successful ERP implementation involves extensive collaboration and communication among the customer, implementation consultancy, and software vendor. Collaboration allows implementation personnel from different organizations to utilize each other's experiences. An example of this is the Web 2.0. A Web 2.0 knowledge repository system can reduce costs, improve quality, and lower the risks of ERP implementations.Through the case study, the key desired features for Web 2.0 knowledge repository system to support ERP implementations were defined. Epics was designed to fulfill these requirements and developed a prototype. Epics can be used by software vendors, ERP consulting firms, and ERP users. Human aspects play a critical role in ERP implementation. ERP implementation quality depends largely on how the implementation personnel's knowledge and past experiences are reused and communicated. Although knowledge reuse, collaboration, and communication are important for all software projects, they're particularly critical in ERP implementation owing to its unique challenges.","1937-4194","","10.1109/MS.2009.171","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5287009","Web 2.0;ERP implementation;software engineering;software implementation;packaged software;enterprise resource planning;ERP","Collaboration;Enterprise resource planning;Collaborative software;Personnel;Software packages;Costs;Software prototyping;Prototypes;Humans","data mining;enterprise resource planning;groupware;Internet;software reusability;software tools","ERP implementation;community collaboration;enterprise software packages;software vendor;Web 2.0 knowledge repository system;Epics software;ERP consulting firms;ERP users;knowledge reuse;communication","","13","1","12","","16 Oct 2009","","","IEEE","IEEE Magazines"
"Software lives too long","J. C. Munson","Dept. of Comput. Sci., Idaho Univ., Moscow, ID, USA","IEEE Software","6 Aug 2002","1998","15","4","18","","Old programs represent yesterday's technology. We have has learned quite a bit about software engineering methodology in the last few years. We now know, for example, that requirements traceability is central to program maintainability-if we don't know what a program is supposed to do we cannot maintain it. We know that calendar years have four digits in them, not two. We know that data can best be managed in databases. We know that many of the utility functions once written into programs are best handled by the operating system. And we have new design constructs and new programming language features that permit us to design eminently maintainable programs. When the cost of maintaining old buildings becomes excessive, we replace these buildings. We must do the same with old programs. Programs do not age well-written for hardware systems and operating systems that typically no longer exist many are fraught with undocumented patches and features. Just as we have learned that it is wise to invest in new hardware and new buildings, we must learn to recognize the value of replacing drafty and rickety old software.","1937-4194","","10.1109/52.687938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=687938","","Automatic programming;Software maintenance;Application software;Computer languages;Magnetic heads;Operating systems;Buildings;Hardware;Software reliability;Aging","software maintenance","software engineering methodology;old programs;requirements traceability;program maintainability;utility functions;databases;operating systems;design constructs;programming language features;hardware systems","","","","","","6 Aug 2002","","","IEEE","IEEE Magazines"
